codigo,sku,descripcion,nombre_normalizado,categoria_sugerida,marca_sugerida,unidad_sugerida,costo_sin_iva_ars,costo_con_iva_ars,precio_publico_ars,iva_pct_inferido,stock_inicial,stock_minimo,activo,origen_excel_fila
43969,43969,GROUT MORTERO WEBER BOLSA X 30 kg,GROUT MORTERO WEBER BOLSA X 30 KG,Ferretería general,,kg,,,,,,,true,9785
46183,46183,PEGAMENTO PORCELANATO PRO 25 kg WEBER,PEGAMENTO PORCELANATO PRO 25 KG WEBER,Pintura y adhesivos,,kg,,,,,,,true,9786
46970,46970,CAMPANA SAMSUNG 60CM DIGITAL,CAMPANA SAMSUNG 60CM DIGITAL,Cocina y bachas,,unidad,,,,,,,true,9868
33033,33033,LAVARROPA PATRIOT SEMIAUTOMATICO C.SUP 5 kg 56RB,LAVARROPA PATRIOT SEMIAUTOMATICO C SUP 5 KG 56RB,Electricidad,,kg,,,,,,,true,9884
47057,47057,LAVARROPA DREAN 8kg 1400RPM - GRIS C.FRONTAL,LAVARROPA DREAN 8KG 1400RPM GRIS C FRONTAL,Ferretería general,,kg,,,,,,,true,9893
33069,33069,"HORNO ELECTRICO DIGITAL VIDRIO NEGRO FLORENCIA 7887E Ancho: 59,7 cm Alto: 59,1 cm Profundidad: 54,5 cm",HORNO ELECTRICO DIGITAL VIDRIO NEGRO FLORENCIA 7887E ANCHO 59 7 CM ALTO 59 1 CM PROFUNDIDAD 54 5 CM,Ferretería general,,unidad,,,,,,,true,9910
36286,36286,CAMPANA 90CM INOXIDABLE BOSCH DWB96BC50,CAMPANA 90CM INOXIDABLE BOSCH DWB96BC50,Cocina y bachas,Bosch,unidad,,,,,,,true,9940
45008,45008,"TELEVISOR 40"" SMART 4K FULL HD - HISENSE",TELEVISOR 40 SMART 4K FULL HD HISENSE,Ferretería general,,unidad,,,,,,,true,9942
36342,36342,CAFETERA DE FILTRO 1.5L SMARTLIFE SL-CM9402,CAFETERA DE FILTRO 1 5L SMARTLIFE SL CM9402,Ferretería general,,unidad,,,,,,,true,9950
36344,36344,JARRA ELECTRICA NEGRA 1.7L SMARTLIFE SL-EK1714B,JARRA ELECTRICA NEGRA 1 7L SMARTLIFE SL EK1714B,Ferretería general,,unidad,,,,,,,true,9952
36427,36427,LICUADORA 400W 1.5 Lts NEGRA SMARTLIFESL-BL1008BPN,LICUADORA 400W 1 5 LTS NEGRA SMARTLIFESL BL1008BPN,Ferretería general,,litro,,,,,,,true,9955
46197,46197,AIRE ACONDICIONADO SPLIT 2600W - FRIO / CALOR / HITACHI,AIRE ACONDICIONADO SPLIT 2600W FRIO / CALOR / HITACHI,Climatización,,unidad,,,,,,,true,10035
46261,46261,AIRE ACONDICIONADO SPLIT 3200W - FRIO / CALOR / PHILCO,AIRE ACONDICIONADO SPLIT 3200W FRIO / CALOR / PHILCO,Climatización,,unidad,,,,,,,true,10036
35674,35674,MICROONDAS 20 LITROS BLANCO ATMA MR1720N,MICROONDAS 20 LITROS BLANCO ATMA MR1720N,Ferretería general,R1,litro,,,,,,,true,10047
36210,36210,COCINA ORMAY EUROPEA A IV ACERO GASTRONOMICO,COCINA ORMAY EUROPEA A IV ACERO GASTRONOMICO,Gas,,unidad,,,,,,,true,10069
47780,47780,HORNO ELECTRICO H.E. 60 A2 SIN SPIEDO ORMAY ABOLLA,HORNO ELECTRICO H E 60 A2 SIN SPIEDO ORMAY ABOLLA,Ferretería general,,unidad,,,,,,,true,10074
